item,price,region,like,chat,image
위닉스 제습기 (DXAH100-IWK),"70,000원",충남 천안시 서북구 불당동,35,70,images/best/bestimg0.jpg
샤넬 디올 가방들 정리합니다,100원,부산 해운대구 우제2동,113,63,images/best/bestimg1.jpg
위닉스 제습기 (1등급 효율) 급처,"50,000원",서울 관악구 서원동,18,37,images/best/bestimg2.jpg
장마철 제습기 싸게 들여놓으세요,"50,000원",대구 수성구 범어3동,15,33,images/best/bestimg3.jpg
명품 다 정리합니다,999만 9999원,울산 울주군 범서읍,43,51,images/best/bestimg4.jpg
LG WHISEN 제습기,"50,000원",서울 강남구 개포4동,10,35,images/best/bestimg5.jpg
제습기,"50,000원",서울 강서구 화곡제1동,10,29,images/best/bestimg6.jpg
냉동고 4년사용,"50,000원",대구 수성구 고산2동,18,18,images/best/bestimg7.jpg
제습기 팝니다,"90,000원",경기도 수원시 영통구 영통동,96,129,images/best/bestimg8.jpg
제습기 팝니다,"30,000원",충남 천안시 서북구 성거읍,7,27,images/best/bestimg9.jpg
제습기,"10,000원",경기도 안산시 단원구 와동,9,30,images/best/bestimg10.jpg
제습기 LG,"50,000원",서울 서초구 방배2동,5,27,images/best/bestimg11.jpg
제습기,"20,000원",경북 포항시 북구 용흥동,3,18,images/best/bestimg12.jpg
제습기,"50,000원",전북 전주시 완산구 삼천3동,6,22,images/best/bestimg13.jpg
제습기 판매,"70,000원",경남 진주시 천전동,6,21,images/best/bestimg14.jpg
나이키 운동화,"10,000원",세종시  다정동,9,48,images/best/bestimg15.jpg
위닉스 DHD169 제습기 팝니다 16리터,"70,000원",경기도 수원시 영통구 광교2동,5,21,images/best/bestimg16.jpg
선반,"5,000원",강원도 강릉시 노암동,11,15,images/best/bestimg17.jpg
갤럭시에스23울트라 새폰,"289,000원",경기도 수원시 권선구 권선1동,21,72,images/best/bestimg18.jpg
울산서머페스티벌 티켓 양도,12원,울산 북구 염포동,1,17,images/best/bestimg19.jpg
김치냉장고  필요하신분,"70,000원",경북 구미시 산동읍,17,31,images/best/bestimg20.jpg
LG제습기,"50,000원",제주 제주시 한림읍,6,44,images/best/bestimg21.jpg
베트남동 판매해요,"73,000원",경기도 용인시 수지구 죽전동,2,17,images/best/bestimg22.jpg
샤넬 디올 가방들 정리합니다,100원,서울 강남구 신사동,92,49,images/best/bestimg23.jpg
